,Date,Open,High,Low,Close,Adj Close,Volume,Open_Change,Gain_Loss_Open
232.0,723495,0.084263,0.08482100000000001,0.084263,0.084263,0.06614500000000001,27440000.0,-0.003907,0
233.0,723496,0.084263,0.08482100000000001,0.083705,0.083705,0.065707,76092800.0,0.0,1
234.0,723497,0.081473,0.081473,0.080915,0.080915,0.06351699999999999,21011200.0,-0.00279,0
235.0,723500,0.08035700000000001,0.08035700000000001,0.079799,0.079799,0.062641,22556800.0,-0.001116,0
236.0,723501,0.081473,0.08203099999999999,0.081473,0.081473,0.063955,35414400.0,0.001116,1
237.0,723502,0.084263,0.08482100000000001,0.084263,0.084263,0.06614500000000001,29142400.0,0.00279,1
238.0,723503,0.084263,0.08482100000000001,0.084263,0.084263,0.06614500000000001,40006400.0,0.0,1
239.0,723504,0.08482100000000001,0.085379,0.08482100000000001,0.08482100000000001,0.066583,38102400.0,0.000558,1
240.0,723507,0.08203099999999999,0.08203099999999999,0.080915,0.080915,0.06351699999999999,22960000.0,-0.00279,0
241.0,723508,0.080915,0.080915,0.08035700000000001,0.08035700000000001,0.063079,22153600.0,-0.001116,0
242.0,723509,0.08203099999999999,0.082589,0.08203099999999999,0.08203099999999999,0.06439299999999999,52550400.0,0.001116,1
243.0,723511,0.084263,0.08482100000000001,0.084263,0.084263,0.06614500000000001,37251200.0,0.002232,1
244.0,723514,0.083705,0.083705,0.083147,0.083147,0.06526900000000001,23968000.0,-0.000558,0
245.0,723515,0.142299,0.142299,0.141183,0.141183,0.110826,23699200.0,0.05859400000000001,1
246.0,723516,0.11718800000000001,0.11718800000000001,0.116629,0.116629,0.091552,14560000.0,-0.025111,0
247.0,723517,0.10044600000000001,0.101004,0.10044600000000001,0.10044600000000001,0.078848,59248000.0,-0.016742,0
248.0,723519,0.12220999999999999,0.123884,0.12220999999999999,0.12220999999999999,0.095933,4256000.0,0.021764,1
249.0,723520,0.145647,0.145647,0.14508900000000002,0.14508900000000002,0.11389200000000001,25804800.0,0.023437,1
250.0,723522,0.107701,0.107701,0.107143,0.107143,0.084105,26275200.0,-0.037946,0
251.0,723524,0.085938,0.086496,0.085938,0.085938,0.06746,27350400.0,-0.021763,0
252.0,723525,0.08705399999999999,0.087612,0.08705399999999999,0.08705399999999999,0.06833600000000001,39916800.0,0.001116,1
253.0,723528,0.08203099999999999,0.08203099999999999,0.080915,0.080915,0.06351699999999999,25244800.0,-0.005023,0
254.0,723529,0.083147,0.083705,0.083147,0.083147,0.06526900000000001,31315200.0,0.001116,1
255.0,723530,0.08705399999999999,0.087612,0.08705399999999999,0.08705399999999999,0.06833600000000001,65452800.0,0.003907,1
256.0,723531,0.094308,0.09486599999999999,0.094308,0.094308,0.07403,51452800.0,0.007254000000000001,1
257.0,723532,0.102121,0.10267899999999999,0.102121,0.102121,0.080163,71724800.0,0.007812999999999999,1
258.0,723535,0.098214,0.098214,0.09765599999999999,0.09765599999999999,0.076658,56403200.0,-0.003907,0
259.0,723536,0.09933,0.099888,0.09933,0.09933,0.077972,53827200.0,0.001116,1
260.0,723537,0.09765599999999999,0.09765599999999999,0.097098,0.097098,0.07622000000000001,28896000.0,-0.001674,0
261.0,723538,0.09765599999999999,0.098214,0.09765599999999999,0.09765599999999999,0.076658,28918400.0,0.0,1
262.0,723542,0.094308,0.094308,0.093192,0.093192,0.073154,36579200.0,-0.003348,0
263.0,723543,0.09486599999999999,0.09598200000000001,0.09486599999999999,0.09486599999999999,0.07446799999999999,24236800.0,0.000558,1
264.0,723544,0.098772,0.09933,0.098772,0.098772,0.077534,32188800.0,0.003906,1
